# t (s)	mx ()	my ()	mz ()	m_z_yrange7_ ()	I_x (A)	ext_dwxpos (m)
1.5400267543600244e-09	0.10745138	0.00021201967	-0.6601195	-0.6612423	-8e-06	1.36248355e-08
1.5500377525251372e-09	0.10745181	0.00022034891	-0.66010123	-0.66122407	-8e-06	1.36248905e-08
1.5600487741760955e-09	0.10745218	0.00022794997	-0.660081	-0.66120374	-8e-06	1.3624936e-08
1.5700070961006838e-09	0.10745246	0.0002347894	-0.66005915	-0.6611816	-8e-06	1.36249705e-08
1.5800180803762191e-09	0.10745273	0.00024096316	-0.6600354	-0.6611577	-8e-06	1.3625005e-08
1.5900290925737229e-09	0.1074531	0.00024645712	-0.6600102	-0.66113245	-8e-06	1.3625053e-08
1.600040093066316e-09	0.10745361	0.00025123553	-0.6599839	-0.6611059	-8e-06	1.3625116e-08
1.6100510799709696e-09	0.10745419	0.00025520052	-0.6599564	-0.6610782	-8e-06	1.3625192e-08
1.6200093879503517e-09	0.10745478	0.0002582873	-0.6599283	-0.66105	-8e-06	1.3625265e-08
1.6300204056076506e-09	0.10745528	0.0002605301	-0.65989965	-0.66102105	-8e-06	1.362533e-08
1.6400314142915022e-09	0.10745574	0.0002619586	-0.65987045	-0.6609917	-8e-06	1.3625386e-08
1.6500424015696287e-09	0.10745618	0.00026262758	-0.65984124	-0.66096216	-8e-06	1.3625444e-08
1.6600007047168128e-09	0.1074567	0.00026256868	-0.65981215	-0.66093296	-8e-06	1.36255105e-08
1.6700116913976414e-09	0.107457295	0.000261747	-0.65978336	-0.6609039	-8e-06	1.3625585e-08
1.6800226829164015e-09	0.1074579	0.00026014098	-0.65975505	-0.6608754	-8e-06	1.36256615e-08
1.6900336641351323e-09	0.10745846	0.0002577483	-0.65972733	-0.6608475	-8e-06	1.36257325e-08
1.7000446564346894e-09	0.10745894	0.0002546491	-0.65970063	-0.6608206	-8e-06	1.3625794e-08
1.710002936549363e-09	0.107459374	0.00025095875	-0.659675	-0.6607948	-8e-06	1.3625848e-08
1.7200139320091875e-09	0.10745981	0.00024668375	-0.65965056	-0.6607701	-8e-06	1.3625904e-08
1.7300249277284334e-09	0.10746029	0.00024186475	-0.6596275	-0.6607469	-8e-06	1.36259635e-08
1.7400358952820321e-09	0.10746075	0.00023650321	-0.6596059	-0.6607252	-8e-06	1.3626022e-08
1.7500468983960604e-09	0.10746117	0.00023063023	-0.659586	-0.6607051	-8e-06	1.3626077e-08
1.7600052049619328e-09	0.10746152	0.00022435313	-0.65956783	-0.66068685	-8e-06	1.36261225e-08
1.7700161737847417e-09	0.10746182	0.00021769898	-0.6595515	-0.6606704	-8e-06	1.3626159e-08
1.7800271588089462e-09	0.10746209	0.00021077694	-0.6595371	-0.6606558	-8e-06	1.36261935e-08
1.790038114427359e-09	0.10746236	0.00020362686	-0.6595246	-0.6606432	-8e-06	1.3626229e-08
1.8000491234539344e-09	0.107462645	0.0001962729	-0.6595142	-0.66063267	-8e-06	1.3626264e-08
1.8100074466229998e-09	0.10746289	0.00018879467	-0.65950584	-0.6606243	-8e-06	1.3626295e-08
1.8200184441199355e-09	0.10746305	0.0001811916	-0.65949965	-0.66061807	-8e-06	1.3626315e-08
1.830029412312597e-09	0.10746314	0.00017356571	-0.6594955	-0.6606139	-8e-06	1.3626324e-08
1.8400404100885079e-09	0.10746314	0.00016599399	-0.65949345	-0.6606118	-8e-06	1.3626324e-08
1.8500513769449203e-09	0.107463084	0.00015854803	-0.6594933	-0.66061175	-8e-06	1.3626319e-08
1.8600096721707747e-09	0.107463054	0.00015129455	-0.6594952	-0.66061354	-8e-06	1.3626315e-08
1.8700206853588055e-09	0.10746308	0.00014418132	-0.659499	-0.66061735	-8e-06	1.3626319e-08
1.880031685481985e-09	0.107463144	0.00013728705	-0.6595046	-0.660623	-8e-06	1.3626326e-08
1.8900426659459038e-09	0.107463114	0.00013066792	-0.6595121	-0.6606305	-8e-06	1.3626322e-08
1.9000009566471497e-09	0.10746291	0.0001243868	-0.65952116	-0.66063976	-8e-06	1.3626297e-08
1.910011953945931e-09	0.10746263	0.000118434116	-0.65953195	-0.6606505	-8e-06	1.3626263e-08
1.9200229332612673e-09	0.107462354	0.000112914735	-0.6595442	-0.6606629	-8e-06	1.3626226e-08
1.930033926056629e-09	0.107462145	0.000107874504	-0.6595578	-0.6606766	-8e-06	1.3626201e-08
1.9400449234807713e-09	0.107461944	0.00010330469	-0.6595727	-0.66069156	-8e-06	1.3626175e-08
1.9500032228768762e-09	0.10746172	9.920068e-05	-0.65958863	-0.6607076	-8e-06	1.36261455e-08
1.960014203865471e-09	0.107461415	9.553193e-05	-0.65960544	-0.6607246	-8e-06	1.36261065e-08
1.9700252075553087e-09	0.107461065	9.2384034e-05	-0.65962315	-0.6607424	-8e-06	1.3626063e-08
1.9800362394965067e-09	0.107460685	8.980063e-05	-0.65964156	-0.6607609	-8e-06	1.3626015e-08
1.9900472302499384e-09	0.10746035	8.7782224e-05	-0.6596604	-0.6607799	-8e-06	1.3625972e-08
2e-09	0.10746002	8.631831e-05	-0.6596796	-0.6607992	-8e-06	1.3625931e-08
2.010014962235714e-09	0.10745971	8.536939e-05	-0.6596991	-0.66081876	-8e-06	1.36258915e-08
2.0200259385286287e-09	0.10745937	8.493709e-05	-0.6597187	-0.66083854	-8e-06	1.3625847e-08
2.0300369187179007e-09	0.107458994	8.501239e-05	-0.6597381	-0.66085815	-8e-06	1.3625801e-08
2.040047924941838e-09	0.10745861	8.561414e-05	-0.6597573	-0.6608775	-8e-06	1.3625752e-08
2.05e-09	0.10745824	8.673617e-05	-0.65977615	-0.66089654	-8e-06	1.3625704e-08
2.060015204139384e-09	0.1074579	8.836379e-05	-0.6597947	-0.66091514	-8e-06	1.36256615e-08
2.0700261857470657e-09	0.107457586	9.0446636e-05	-0.65981245	-0.6609331	-8e-06	1.36256215e-08
2.0800371971315876e-09	0.10745729	9.293724e-05	-0.6598297	-0.66095036	-8e-06	1.3625584e-08
2.090048179001355e-09	0.10745697	9.5814685e-05	-0.659846	-0.6609668	-8e-06	1.3625545e-08
2.1e-09	0.10745668	9.905277e-05	-0.65986127	-0.66098225	-8e-06	1.3625505e-08
2.1100153235972926e-09	0.10745637	0.00010267994	-0.6598757	-0.66099674	-8e-06	1.3625467e-08
2.1200262989325063e-09	0.10745609	0.00010662851	-0.659889	-0.66101015	-8e-06	1.3625432e-08
2.1300372870086853e-09	0.10745586	0.00011085975	-0.6599012	-0.66102237	-8e-06	1.3625403e-08
2.140048267079164e-09	0.10745563	0.000115313866	-0.659912	-0.66103333	-8e-06	1.3625375e-08
2.1500000000000002e-09	0.107455455	0.00011991928	-0.65992147	-0.66104287	-8e-06	1.3625351e-08
2.16001535575966e-09	0.10745529	0.00012472626	-0.6599297	-0.6610512	-8e-06	1.362533e-08
2.170026336585307e-09	0.10745514	0.00012967615	-0.65993655	-0.6610581	-8e-06	1.3625313e-08
2.1800373608117567e-09	0.10745502	0.00013471326	-0.6599421	-0.66106355	-8e-06	1.36252964e-08
2.1900483856099953e-09	0.10745491	0.00013979251	-0.65994614	-0.6610677	-8e-06	1.3625284e-08
2.2000000000000003e-09	0.107454844	0.00014484668	-0.65994877	-0.66107035	-8e-06	1.3625274e-08
2.2100154186290077e-09	0.10745484	0.00014990286	-0.65995	-0.66107166	-8e-06	1.36252725e-08
2.220026420083196e-09	0.107454866	0.00015489136	-0.65995	-0.66107166	-8e-06	1.3625276e-08
2.230037386855269e-09	0.10745488	0.00015977204	-0.6599488	-0.66107035	-8e-06	1.3625279e-08
2.2400483805886215e-09	0.10745489	0.00016452436	-0.65994614	-0.6610677	-8e-06	1.3625279e-08
2.2500000000000003e-09	0.107454866	0.00016909368	-0.6599423	-0.66106385	-8e-06	1.3625279e-08
2.260015417123414e-09	0.10745489	0.00017351107	-0.65993726	-0.66105884	-8e-06	1.362528e-08
2.270026409746372e-09	0.10745497	0.00017771334	-0.6599311	-0.66105264	-8e-06	1.362529e-08
2.2800373815670877e-09	0.10745513	0.0001816702	-0.65992385	-0.6610453	-8e-06	1.3625311e-08
2.2900483876820902e-09	0.10745534	0.0001853574	-0.6599157	-0.6610371	-8e-06	1.3625337e-08
2.3000000000000003e-09	0.10745551	0.00018872222	-0.65990657	-0.6610279	-8e-06	1.3625358e-08
2.3100154275168956e-09	0.107455656	0.00019177678	-0.65989655	-0.66101784	-8e-06	1.3625377e-08
2.320026439888424e-09	0.107455775	0.00019450378	-0.6598859	-0.66100705	-8e-06	1.3625391e-08
2.3300374392344064e-09	0.10745593	0.00019691118	-0.6598745	-0.66099566	-8e-06	1.3625413e-08
2.340048425943983e-09	0.10745616	0.00019899002	-0.65986264	-0.6609837	-8e-06	1.3625441e-08
2.3500000000000004e-09	0.10745643	0.00020071435	-0.65985036	-0.6609713	-8e-06	1.3625475e-08
2.3600154023133736e-09	0.10745669	0.00020206966	-0.65983766	-0.6609586	-8e-06	1.3625509e-08
2.370026416222798e-09	0.107456915	0.00020302382	-0.6598248	-0.66094553	-8e-06	1.3625537e-08
2.3800374225702566e-09	0.10745712	0.000203618	-0.6598117	-0.66093236	-8e-06	1.3625564e-08
2.390048419309767e-09	0.10745733	0.00020387872	-0.65979856	-0.6609192	-8e-06	1.3625591e-08
2.4000000000000004e-09	0.10745758	0.00020380352	-0.6597856	-0.660906	-8e-06	1.36256215e-08
2.4100153882699537e-09	0.10745783	0.00020338333	-0.65977263	-0.6608931	-8e-06	1.36256535e-08
2.420026369150701e-09	0.10745809	0.00020261468	-0.65976	-0.66088027	-8e-06	1.3625685e-08
2.4300373609829927e-09	0.107458346	0.00020150456	-0.6597476	-0.66086787	-8e-06	1.3625718e-08
2.4400483679758026e-09	0.10745856	0.00020008408	-0.6597357	-0.6608558	-8e-06	1.3625743e-08
2.4500000000000004e-09	0.10745875	0.00019839936	-0.6597243	-0.6608444	-8e-06	1.362577e-08
2.460015423010831e-09	0.10745896	0.00019644538	-0.6597134	-0.66083336	-8e-06	1.3625796e-08
2.4700264102566786e-09	0.10745916	0.00019424621	-0.6597032	-0.6608231	-8e-06	1.3625821e-08
2.4800374194835706e-09	0.10745937	0.0001918144	-0.6596936	-0.66081345	-8e-06	1.3625847e-08
2.490048407927402e-09	0.107459545	0.00018916295	-0.6596848	-0.6608045	-8e-06	1.3625873e-08
2.5000000000000005e-09	0.1074597	0.00018633452	-0.6596768	-0.6607965	-8e-06	1.362589e-08
2.510015433876517e-09	0.10745983	0.0001833316	-0.65966964	-0.66078925	-8e-06	1.36259075e-08
2.5200263991977044e-09	0.10745998	0.00018021486	-0.6596633	-0.6607829	-8e-06	1.3625924e-08
2.5300373978817924e-09	0.107460104	0.00017699634	-0.6596579	-0.6607775	-8e-06	1.362594e-08
2.540048404121866e-09	0.10746021	0.00017369959	-0.6596534	-0.6607729	-8e-06	1.3625953e-08
